Country	Country Code	Indicator Name	Indicator Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
China	CHN	GDP per capita (current US$)	NY.GDP.PCAP.CD	317,884673	333,1421454	366,4606923	377,3898395	473,4922787	609,6566792	709,4137551	781,7441643	828,5804793	873,2870617	959,3724836	1053,108243	1148,50829	1288,643252	1508,668098	1753,417829	2099,229435	2693,969827	3468,304463	3832,235952	4550,453596	5618,132491	6316,918863	7050,64592	7678,599432	8066,942424	8147,938148	8879,438149	9976,67	10261,67913	
Cameroon	CMR	GDP per capita (current US$)	NY.GDP.PCAP.CD	946,6464131	1024,424135	911,7414218	1204,762973	801,1617038	709,1148297	752,5250994	755,2397068	720,7969746	740,9965643	649,9918454	651,1009075	707,8875674	865,9581375	1009,94312	1011,880073	1062,137433	1194,06985	1371,746708	1314,706015	1286,515572	1405,094392	1354,545613	1465,638843	1542,620266	1327,503017	1364,33011	1425,107818	1534,49	1497,909176	
Democratic Republic of the Congo	COD	GDP per capita (current US$)	NY.GDP.PCAP.CD	270,1305434	268,0564628	220,3718557	275,8219735	144,5950827	135,7371468	134,9819243	138,9740464	138,5863064	102,5979776	405,216253	153,5910092	175,0099651	173,7961353	194,0399624	218,3861908	255,4330838	286,3304921	327,5637218	298,6196821	334,0215726	387,0824654	424,6003861	457,9637283	486,7870819	497,3169608	471,3188404	467,0742375	557,064	545,2162123	
Congo	COG	GDP per capita (current US$)	NY.GDP.PCAP.CD	1187,551284	1124,901114	1178,023799	749,6348578	672,1631948	781,5235685	912,0139881	810,077492	660,4723724	774,7116899	1029,577037	868,3399509	912,2781532	1026,107674	1324,219142	1680,204588	2064,344523	2165,745759	2956,264407	2314,266025	2812,435974	3286,694535	3032,493883	3047,930773	2996,918026	1762,032018	1815,295843	1767,894521	2223,85	2011,072399	
Colombia	COL	GDP per capita (current US$)	NY.GDP.PCAP.CD	1445,328368	1456,693969	1697,112887	1893,54205	2284,838749	2539,912877	2620,538762	2827,379752	2566,02406	2209,93148	2520,480898	2439,681836	2396,627274	2281,40196	2782,62305	3414,465833	3741,093171	4714,072541	5472,536133	5193,241451	6336,709214	7335,11051	8050,058414	8218,033996	8114,084069	6175,876132	5871,223575	6377,851363	6718,58	6432,387583	
Comoros	COM	GDP per capita (current US$)	NY.GDP.PCAP.CD	1043,800803	1000,558651	1047,979551	1008,029494	690,4717309	838,171684	810,5442344	726,0552078	718,1170893	723,1850928	645,8186908	680,3185414	744,4751724	935,611518	1059,176884	1068,600321	1113,957757	1238,461514	1387,594626	1339,337191	1316,498848	1447,963587	1403,34862	1505,349473	1513,830379	1242,60319	1273,058953	1323,81159	1415,95	1393,522372	
Cabo Verde	CPV	GDP per capita (current US$)	NY.GDP.PCAP.CD	908,0961896	923,7416128	1003,946473	1339,744217	1080,162304	1261,116157	1269,120577	1213,599841	1265,194783	1408,999608	1259,323656	1292,202785	1401,903733	1809,089925	2024,275248	2099,157484	2361,385134	3186,826892	3721,250949	3517,401245	3378,25486	3740,389099	3447,524041	3615,979041	3588,674054	3043,013984	3130,963385	3292,645755	3617,32	3603,781794	
Costa Rica	CRI	GDP per capita (current US$)	NY.GDP.PCAP.CD	1831,001912	2238,853644	2595,022522	2828,130172	3016,224348	3247,316987	3198,548672	3375,166341	3579,865884	3653,552719	3772,870012	3944,737613	4024,6519	4129,632791	4385,390719	4654,824822	5201,514095	6071,789165	6859,079022	6760,477515	8141,913127	9121,932518	9913,209959	10490,08133	10547,15186	11299,13554	11666,45591	11814,62657	12112,1	12238,37496	
Cuba	CUB	GDP per capita (current US$)	NY.GDP.PCAP.CD	2703,168039	2278,20868	2057,103404	2073,094865	2624,756793	2794,737268	2286,927382	2308,146195	2331,465648	2558,904794	2747,098575	2837,738018	2999,245244	3197,133754	3395,71205	3786,664795	4683,566155	5208,716073	5411,271418	5529,67036	5730,354775	6139,71933	6497,321113	6837,712892	7133,342095	7694,01192	8060,795886	8541,210673	8821,81		
Cyprus	CYP	GDP per capita (current US$)	NY.GDP.PCAP.CD	9641,575273	9696,099593	11310,07192	10526,14177	11617,69278	15261,41056	15139,22613	14234,24438	15092,82625	15287,91913	14388,34806	14821,44682	16093,21461	20252,23898	23792,62136	24959,25917	26729,3234	31244,92622	35397,36368	32109,24251	31023,63833	32396,38574	28912,15694	27729,1927	27129,62612	23333,71491	24532,51906	26338,69434	28689,7	27858,371	
